,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5616342544555664,0.061778431129741525,0.007160615921020508,0.002065474889704274,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-43.852932275738304,-53.06292003069423,-45.8715981658118,-50.98913971069025,-45.711742612885494,-47.897666559164016,3.5065693128394453,1
1,0.7179542064666748,0.013062160681950912,0.0073946952819824215,0.0017477285843263532,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.41811704424129,-53.387136693842315,-45.89890296412363,-51.38352902020202,-45.520847366058796,-48.12170661769361,3.5717261913545464,2
4,0.554944372177124,0.11299936890848929,0.009356212615966798,0.005261485374423054,0.5,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.202714455466044,-54.36097895596382,-46.21039465751224,-52.28491819359572,-46.195536803167585,-48.85090861314108,3.7278929971949535,3
2,1.088217306137085,0.042873212353352515,0.007539272308349609,0.0006683890928267775,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.5061828862079,-54.73564217272031,-46.13663607040756,-52.281951948289006,-46.046945451854725,-48.94147170589591,3.8151753328137143,4
3,1.8696523666381837,0.2624660192053767,0.009334421157836914,0.0022028942346368303,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.80987422726788,-55.410033264289495,-45.935354052378415,-52.54903274018926,-46.263305714212315,-49.19351999966748,4.013860055678641,5
5,0.6051595211029053,0.039195428977606306,0.007064008712768554,0.0009742539983731163,0.5,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.93805900415445,-54.957440385844095,-46.35886516422534,-52.654781601984965,-46.543607098065856,-49.29055065085494,3.7632796355569273,6
6,0.9012556552886963,0.09881757237983822,0.0071108341217041016,0.0010511447785762414,0.5,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-47.89795596249373,-58.57943456669461,-46.325919314075655,-53.792178726920525,-51.15046100235063,-51.54918991450703,4.36413539123797,7
7,1.6628456115722656,0.1773749885378559,0.007541370391845703,0.0007499839286780782,0.5,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-48.84959845395922,-58.57943456669461,-46.325919314075655,-53.815586081257806,-51.76829910204227,-51.86776750360591,4.2112181541247695,8
