,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.8319865226745605,0.1283815725938064,0.048765707015991214,0.050398821502132506,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.41811704424129,-53.387136693842315,-45.89890296412363,-51.38352902020202,-45.520847366058796,-48.12170661769361,3.5717261913545464,1
7,1.329989242553711,0.04356971081339263,0.008396339416503907,0.0007489560037570723,0.1,1,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.79612672573261,-53.7145663038737,-46.14709764175956,-51.44343048560405,-45.820927255173395,-48.38442968242866,3.52763262772299,2
3,7.024793338775635,0.07230976119428156,0.021129035949707033,0.0031117110389620654,0.01,5,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-46.538191686884026,-56.672076478744955,-47.55325934321946,-54.36115892766128,-48.493503208102155,-50.72363792892237,4.028851987650236,3
1,1.5734699726104737,0.1596851058746027,0.0076958656311035155,0.0014218951243132958,0.01,1,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-47.29685293521242,-55.09942317794223,-47.24151700300964,-55.27327223337117,-48.98772971987063,-50.77975901388122,3.6527337656862042,4
8,2.72469744682312,0.030724442921807763,0.012154817581176758,0.000244705749403348,0.1,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-47.2056043632818,-57.087401485545826,-47.345404870109874,-54.066548535264005,-49.487305207520585,-51.038452892344424,3.9113816737123512,5
9,5.581103992462158,0.2235024871386174,0.019485282897949218,0.002660375351472164,0.1,5,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-47.230834174820856,-57.20027572007811,-48.038800008622815,-54.066548535264005,-49.519328332353645,-51.21115735422789,3.815544699696194,6
5,14.299704551696777,0.3258913639562545,0.07230010032653808,0.027463778393229818,0.01,10,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-48.40980563838582,-56.909869115812604,-48.052678256331994,-55.02375861416877,-49.78373570600152,-51.63596946614014,3.6323549294173296,7
2,3.580222654342651,0.035809777277687395,0.013942909240722657,0.002822596547434367,0.01,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-49.3855096895911,-58.51097767514592,-49.334563612674266,-56.96027523757383,-51.59364817783178,-53.156994878563374,3.857698990204101,8
4,7.8680572509765625,0.5041509534820667,0.027543401718139647,0.003954176953370013,0.01,10,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-50.74156696093165,-58.90512490467384,-49.874519121754915,-58.24599883314072,-52.24636305787369,-54.002714575674965,3.8157814520364397,9
10,6.526332426071167,0.39803051615141716,0.025413131713867186,0.00334812451737691,0.1,10,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-52.197265339169306,-60.83620150853445,-49.71447439461798,-59.66183361240594,-50.71182858212357,-54.62432068737026,4.674800157473063,10
