,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,0.0999368667602539,0.008384115799208109,0.006175804138183594,0.0014528591375538229,0.5,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-69.42627350471973,-73.51919899724064,-67.96933075053364,-70.64175540388263,-58.618987707509625,-68.03510927277725,5.049214874114474,1
13,0.2158834457397461,0.02999064897100632,0.0058495521545410155,0.0007591460125549288,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-70.21431165594868,-73.0913455987269,-67.77774764385616,-70.4624489504737,-58.62995203136695,-68.03516117607447,4.994589962185408,2
14,0.3395524978637695,0.012245097125347855,0.006733846664428711,0.000721299346355756,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-70.40756559188709,-73.21836969312088,-67.6605665860144,-70.63831271018196,-59.39713724635908,-68.2643903655127,4.769976930000005,3
22,0.28115248680114746,0.09431820484414187,0.013771772384643555,0.015832558309693733,0.5,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-70.05154494388375,-72.95624685273808,-67.9980558137839,-72.27098446658529,-60.14419529252661,-68.68420547390352,4.612754352121675,4
18,0.03188080787658691,0.00209541597393061,0.004270315170288086,0.0012161063746340727,0.5,1,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.16387919144509,-74.17732574963995,-68.43349915987407,-71.42002536037153,-58.189276232823836,-68.8768011388309,5.653107782023435,5
20,0.1777921199798584,0.027492859076920267,0.007077741622924805,0.001638756782172075,0.5,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.32747827054202,-71.97433230118648,-69.34213636939714,-71.54257272221632,-59.37878345699714,-68.91306062406781,4.879149784824151,6
11,0.162575626373291,0.040339770087062264,0.0044519901275634766,0.0006651698216012389,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.01004647002165,-73.53746518785888,-68.59247577321058,-71.55828574762117,-59.034390471011854,-68.94653272994483,5.208818514481888,7
16,0.361542272567749,0.032293054158298085,0.007900238037109375,0.0015660657678495376,0.1,5,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-69.48748745059343,-72.45448913385802,-67.77881967395012,-73.04184245634909,-62.04432729735603,-68.96139320242133,3.9591120555830854,8
10,0.08712563514709473,0.010062711137731632,0.00459742546081543,0.0005657610489010537,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.00346586078416,-73.99800695317863,-68.91370835908391,-71.54160371444176,-58.929583071473935,-69.07727359179248,5.3263780835362375,9
23,0.3815910339355469,0.0627626915611045,0.008729362487792968,0.0013708474320522199,0.5,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-70.0542730688516,-72.95624685273808,-68.50271690477166,-73.53832724518921,-60.73410009211767,-69.15713283273364,4.600189847739913,10
