,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
258,0.163039493560791,0.006975890608950725,0.005297088623046875,0.0010740203832593311,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-43.88606575119929,-52.47300076374148,-45.80150829330271,-50.740987587464424,-45.50513602693884,-47.68133968452935,3.3164798758845913,1
257,0.20308737754821776,0.024497270792895858,0.005146503448486328,0.0017726900720175425,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-43.91499433526694,-52.3109252144623,-46.08665617575174,-50.76105253733101,-45.385252911008074,-47.69177623476402,3.253230274093413,2
256,0.19243783950805665,0.03010853012814318,0.007728719711303711,0.0019606895102070193,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-43.75967617329474,-52.290696382754206,-45.85557963566379,-51.02695513565203,-45.5520830199603,-47.69699806946501,3.337204350595314,3
259,0.2516148567199707,0.11677566142892004,0.004929685592651367,0.0006918027474854696,0.7,0.1,1,300,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-43.77532670059671,-52.60310812446205,-45.48125366025634,-51.28357684181919,-45.55077198894241,-47.73880746321534,3.5162491105174007,4
263,0.21700539588928222,0.0041811718300729835,0.004732656478881836,0.0003919639842455524,0.7,0.1,1,500,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-43.96851666783756,-52.53564667237006,-46.04405607000095,-50.65015161806476,-45.70839428016207,-47.781353061687085,3.2461174719083243,5
154,0.2184365749359131,0.009116103843175224,0.0052817344665527345,0.0008982865693336415,0.5,0.1,1,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-44.007418011543216,-52.17033856012475,-46.23386562806497,-51.00809862671316,-45.58655628888613,-47.80125542306645,3.197734701966048,6
262,0.24412183761596679,0.003834761850273579,0.0049778461456298825,0.0008872102514490576,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-44.47451292110986,-52.3644783788058,-46.313022340208235,-50.337111983734765,-45.80351416931197,-47.85852795863413,2.983628496432152,7
153,0.23590373992919922,0.022094498099144044,0.004779052734375,0.00024402788099623542,0.5,0.1,1,500,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-44.20429502575211,-52.238397526874024,-46.34910930088996,-50.90273217161155,-45.76171023126682,-47.89124885127889,3.113631032570609,8
260,0.25314760208129883,0.020655578471937358,0.004694414138793945,0.00018084852474883637,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-44.44304698677811,-52.36990229122059,-46.49630090676122,-50.41782205464652,-45.75987152754006,-47.89738875338929,2.9940095343033306,9
261,0.24625711441040038,0.003689044775681065,0.005347394943237304,0.0012367729940846355,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-44.81800179428338,-52.32911678473266,-46.5935529625651,-50.20795469379492,-45.90944894706306,-47.971615036487826,2.8314624168498534,10
