,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,0.37483978271484375,0.04096919647372374,0.0069125652313232425,0.0013921877801129532,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-69.40974080307062,-72.89108230595649,-67.86151876804452,-70.22406095645364,-59.274593367809125,-67.93219924026688,4.6256981230315235,1
14,0.5604000568389893,0.009614949047363357,0.007193088531494141,0.000965039364024241,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-69.65368451175405,-73.12904806825941,-68.69907676365243,-70.39921404581966,-59.96384242040968,-68.36897316197904,4.453894151925275,2
16,0.6546838760375977,0.0766097373587466,0.008971643447875977,0.0010955859400990937,0.1,5,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-70.51883644533942,-72.39520185968499,-66.93410385867473,-72.13990317527691,-61.1865547309224,-68.6349200139797,4.2034435555735605,3
17,1.097317886352539,0.0652342370075797,0.011657428741455079,0.000713905528717538,0.1,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-70.5388414985851,-72.5024793222798,-66.88420154718276,-72.46473096640624,-61.17435347271191,-68.71292136143316,4.2882404589699155,4
21,0.12971086502075196,0.004196143021298345,0.005157089233398438,0.0005947985097323073,0.5,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-71.241423726923,-72.26854910739513,-68.56445603077519,-70.90213372444913,-61.23148967861619,-68.84161045363173,3.993482721067784,5
18,0.05356297492980957,0.0035100838370025053,0.005339384078979492,0.001333738157340266,0.5,1,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.16387919144509,-74.17732574963995,-68.43349915987407,-71.42002536037153,-58.189276232823836,-68.8768011388309,5.653107782023435,6
20,0.25814003944396974,0.00946702790352287,0.00626521110534668,0.0013554250125799674,0.5,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.32747827054202,-71.97433230118648,-69.34213636939714,-71.54257272221632,-59.37878345699714,-68.91306062406781,4.879149784824151,7
11,0.23265199661254882,0.006138539833529474,0.005625581741333008,0.0011137470060062526,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.01004647002165,-73.53746518785888,-68.59247577321058,-71.55828574762117,-59.034390471011854,-68.94653272994483,5.208818514481888,8
10,0.14567141532897948,0.0037074047205125555,0.005551815032958984,0.0013581275236789901,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.00346586078416,-73.99800695317863,-68.91370835908391,-71.54160371444176,-58.929583071473935,-69.07727359179248,5.3263780835362375,9
19,0.15531768798828124,0.005308294239938385,0.004881715774536133,0.0006081343141134698,0.5,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-71.05148225075489,-74.49973881355992,-69.46106336654772,-71.01156909269172,-59.77233326367932,-69.15923735744671,4.974690880883971,10
