,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
154,0.2217278003692627,0.0031468339098841116,0.004711961746215821,0.00044957482295998776,0.5,0.1,1,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-104.3779218939395,-86.81642394862725,-109.7675082054109,-121.06303894908127,-105.90931788370395,-105.58684217615257,11.053367941668506,1
155,0.19650511741638182,0.0047082307857982935,0.00485382080078125,0.0003755609416216319,0.5,0.1,1,500,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-104.58420458757851,-87.36641256522373,-109.94942803654979,-121.23083513003535,-106.17833015666409,-105.86184209521029,10.92453881429314,2
149,0.13720979690551757,0.004467732782285587,0.0042536258697509766,0.00021155497318305798,0.5,0.1,1,300,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-104.16003192261559,-87.3621073233041,-109.67349434863776,-122.04634248038784,-106.32283362772567,-105.91296194053419,11.151704238486722,3
150,0.1352302074432373,0.002354965037212316,0.005440473556518555,0.0009046144951730507,0.5,0.1,1,300,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-104.58467031422087,-87.15795200398935,-110.1606026480089,-121.82774274111723,-106.0161992943322,-105.94943340033372,11.178921799432647,4
153,0.2477426528930664,0.019623358334148803,0.005168008804321289,0.0011567283161011304,0.5,0.1,1,500,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-104.60045477770592,-87.35522895826075,-109.957323329179,-121.17537827347506,-106.77469613915802,-105.97261629555575,10.919112898715984,5
260,0.2152552127838135,0.0032515704706485636,0.0052086830139160155,0.0009065587044472049,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-104.15919666883491,-87.42845218849466,-110.54601086529523,-121.51715078820942,-106.4829113920197,-106.02674438057076,11.045078139094803,6
256,0.2607413291931152,0.1180868275139769,0.006601190567016602,0.0018018641471175699,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-104.89326258782813,-87.30330605010289,-110.08519760892858,-121.94239184322832,-106.13771615211813,-106.07237484844123,11.150181206489593,7
262,0.2541963577270508,0.003174962224557444,0.004916620254516601,0.000627963641745607,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-104.50120528724567,-87.96529937205175,-109.53613670961653,-122.19089703225762,-106.4646806414247,-106.13164380851927,10.975203866041591,8
46,0.1881784439086914,0.002934671876133596,0.0052111148834228516,0.0009082876123565867,0.3,0.1,1,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-104.57891146292621,-88.16592398905698,-110.41151281260133,-121.46770527373492,-106.26427206222617,-106.17766512010913,10.758225939006161,9
263,0.22590985298156738,0.0036448198763713757,0.0049782276153564455,0.0009466014655541583,0.7,0.1,1,500,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-104.53215841235648,-87.08527894356615,-110.13640398280545,-123.47207333102948,-105.9093485953527,-106.22705265302207,11.67951085537319,10
