,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.08845410346984864,0.008712029735795039,0.004894161224365234,0.0005053000550297029,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-55.23389776068744,-55.517158073674466,-54.9864063243578,-50.52295654639426,-52.39471065677337,-53.73102587237747,1.954600695188977,1
22,0.1603729248046875,0.0038748101631719957,0.005074691772460937,0.001054997566988787,0.5,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.83120378517663,-58.334786940062855,-54.13176396297984,-52.19614738463633,-51.990437754908456,-54.696867965552826,2.517441331934518,2
23,0.3180063724517822,0.02559807870890983,0.008526611328125,0.002313356576866167,0.5,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.83120378517663,-58.334786940062855,-54.25115361207815,-52.16696576942782,-52.15837544737172,-54.748497110823436,2.4827213570811937,3
21,0.060915899276733396,0.003978703601394243,0.004050254821777344,0.0006293301257891935,0.5,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.47721258248567,-57.440023761403026,-55.824625451300655,-51.73035972570437,-52.28286645520054,-54.751017595218855,2.305614067406583,4
17,0.7296684741973877,0.19856582393993077,0.010303163528442382,0.0026437918204184323,0.1,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-55.851999628375566,-59.015124510521495,-54.83521309376162,-51.53211838120626,-53.0591207884309,-54.85871528045916,2.552163439209962,5
16,0.3616283416748047,0.04927308357788501,0.006906318664550781,0.00047537487405954916,0.1,5,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.07250414337372,-59.16885268984373,-54.92285350123043,-51.33383769092473,-53.026420269814444,-54.904893659037405,2.6767923496928354,6
24,0.1419522285461426,0.018361571868299596,0.006380987167358398,0.0014881234800006868,0.5,5,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.201476657234224,-58.8754843633321,-54.007108339038055,-51.510596379833395,-54.316825978845806,-54.982298343656716,2.453155383710678,7
14,0.3285959720611572,0.02174526684830046,0.0077704906463623045,0.0018659382268371464,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-57.29492983051936,-58.88614643171975,-55.73667929115783,-52.228131286051195,-52.588814699238505,-55.34694030773733,2.600260226596897,8
25,0.2683279037475586,0.01917782845721606,0.006248617172241211,0.0004375222352769853,0.5,5,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-57.41608635888392,-59.50005432565734,-54.41240309998947,-51.272364916576265,-54.40648342254727,-55.401478424730854,2.8239983342635004,9
26,0.47112212181091306,0.08767751694539051,0.009708690643310546,0.0027024699157654156,0.5,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-57.4179465926582,-59.50005432565734,-54.41240309998947,-51.63540059373284,-54.522136701981914,-55.497588262803944,2.711204045274404,10
