,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.0863081932067871,0.0055508037729146064,0.004840564727783203,0.0012449032662413771,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-43.80381911577088,-53.0278264406199,-46.157117970541705,-50.989877491683785,-45.58160223323664,-47.91204865037058,3.4937808997909965,1
11,0.13252782821655273,0.002386724488956755,0.004500675201416016,0.001082728594107747,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.13108958993813,-53.418813714890554,-46.69984619480591,-51.21769115977871,-45.72250497849392,-48.23798912758144,3.500849485579176,2
18,0.030951166152954103,0.002093143187784872,0.003729248046875,0.0007242553628093162,0.5,1,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.50728384385842,-53.41670584923228,-46.89983157286651,-51.22911115395814,-45.48653584187674,-48.307893652358416,3.4357184804787226,3
13,0.17792372703552245,0.005164449537139771,0.005247640609741211,0.0007784440199429647,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.8144728712429,-54.25868306997344,-47.53797953123437,-50.49054070155846,-46.88995243691381,-48.7983257221846,3.2796505471438016,4
21,0.06013808250427246,0.0014808110241726724,0.005599164962768554,0.001211975126133324,0.5,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.401330912217865,-53.924270600690114,-47.612380257288926,-50.31297877984859,-47.22245751406106,-48.89468361282131,2.9648764413091504,5
14,0.2858908176422119,0.005437450635044259,0.006427907943725586,0.0007617687034303292,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.831001444964016,-54.34560636277064,-47.88804585649785,-50.410784084988165,-47.03338290753147,-48.901764131350426,3.2558298926152838,6
12,0.0634920597076416,0.001584795357915137,0.003950738906860351,0.0008511399233157567,0.1,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.61339946111856,-53.954939474190255,-46.83076761846087,-51.98531134053119,-47.17600583004878,-48.91208474486993,3.484240280957067,7
23,0.28777036666870115,0.009279305077863318,0.00632319450378418,0.0007266908899142918,0.5,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.44012318114112,-54.08237892588058,-47.612380257288926,-50.37434298359851,-47.22245751406106,-48.94633657239404,3.0153893337550226,8
22,0.17776865959167482,0.0017578180025555991,0.004891538619995117,0.000549234394070744,0.5,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.44012318114112,-54.08237892588058,-47.612380257288926,-50.37434298359851,-47.22245751406106,-48.94633657239404,3.0153893337550226,8
19,0.08009548187255859,0.0037276016691200377,0.00411067008972168,0.000859922076091113,0.5,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.460025119522754,-53.60738885923904,-48.28571548255624,-51.51453916619931,-46.374168489582146,-49.04836742341989,3.081423629679048,10
