,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
259,0.12372283935546875,0.002621596907531867,0.004326629638671875,0.0002255045753566127,0.7,0.1,1,300,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-55.376163034772965,-57.083427991968534,-53.16649649202591,-49.8183013702572,-52.375982464669576,-53.56407427073883,2.5007983187626257,1
257,0.14191131591796874,0.004235608405109476,0.004963350296020508,0.0006164044711141851,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-55.48736861586143,-57.24073935660926,-53.163525650961326,-50.990879850236375,-52.99280730513899,-53.97506415576148,2.167047693622862,2
256,0.124882173538208,0.0033201095681967135,0.004204225540161133,0.00017981569067061925,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-55.38801431119197,-57.054698488779486,-53.16926216558967,-51.32215080148664,-53.01186024554261,-53.98919720251807,2.004724666237073,3
258,0.13835248947143555,0.0032195554542818325,0.004597902297973633,0.0003479699681689161,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-55.62083082960321,-57.42585851231845,-53.197371304383175,-50.71807526658187,-53.01916992719144,-53.996261168015636,2.31260890082473,4
307,0.28358778953552244,0.006205414807297083,0.005220937728881836,0.00010876501927676491,0.7,0.5,3,300,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-55.902945678851886,-58.71268744363449,-52.83759331824543,-50.215877854817805,-52.61646442049267,-54.05711374320846,2.9461587093347,5
273,0.5024022102355957,0.008376920681331414,0.006522321701049804,0.0004941424289869397,0.7,0.1,3,500,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-56.70630815827472,-57.082158147570716,-52.88870007725882,-51.74581991832836,-52.04979394537772,-54.09455604936206,2.319427406762332,6
287,0.8309528827667236,0.007621117781305738,0.008616018295288085,0.000265240445297661,0.7,0.1,5,500,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-55.36378098005194,-58.454580114674314,-53.77506242416455,-50.880951180423075,-52.32811268902262,-54.1604974776673,2.61337540320749,7
274,0.5056524276733398,0.004987261805662418,0.0066417217254638675,0.00039153666719227083,0.7,0.1,3,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-55.696520697121734,-57.40652889584522,-53.228503195017694,-51.75542176785965,-52.87588353842646,-54.19257161885415,2.0588433175706764,8
284,0.6535429954528809,0.005833953431485628,0.010555839538574219,0.0015003468949801963,0.7,0.1,5,500,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-55.24651903524844,-58.06878203496096,-53.433412838483406,-51.01740304674638,-53.54931449569072,-54.263086290225985,2.331640966945002,9
311,0.5069436073303223,0.06429771602669716,0.006302070617675781,0.00025447228836951425,0.7,0.5,3,500,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-55.980538441513396,-59.159442728129875,-52.99187529688515,-50.17804336972604,-53.06389316731735,-54.27475860071437,3.054992119228873,10
