,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.37308192253112793,0.185128088043784,0.007185840606689453,0.002602167740310298,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-43.780198678193734,-52.91191787993144,-46.0669394856508,-50.94760007756633,-45.63714034909804,-47.86875929408807,3.4599339513791962,1
11,0.3794849395751953,0.030465468709257117,0.005974578857421875,0.0012594321234789666,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.05651611567191,-53.05890830257862,-46.662515148677684,-51.1873337931681,-45.572197489293366,-48.10749416987794,3.4330170650507115,2
18,0.05472445487976074,0.002625431782153644,0.00419459342956543,0.0009117462339558964,0.5,1,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.54308718194008,-53.445223532926974,-46.76805691022198,-51.459800211816685,-45.4782789810485,-48.338889363590845,3.48922494921133,3
13,0.7326302528381348,0.15800273228409986,0.00771937370300293,0.001795146979350426,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.72145492835117,-54.119405056330606,-46.96467562733112,-51.23875612657888,-47.73071987873589,-48.955002323465536,3.324748965830564,4
19,0.14647269248962402,0.003944702106083433,0.00507354736328125,0.0010812308270424895,0.5,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.46772408485065,-54.30256972860872,-47.77344454477806,-51.23532962828058,-46.23125411615302,-49.002064420534204,3.3094195309589955,5
20,0.27492852210998536,0.03428609699723467,0.006280088424682617,0.001962748463978949,0.5,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.46772633542693,-54.302581244106086,-47.77344454477806,-51.23532962828058,-46.23125411615302,-49.002067173748934,3.3094227389944875,6
12,0.14835095405578613,0.007273190885746308,0.0051403999328613285,0.001218972465680135,0.1,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-44.969975274367116,-53.766957514112924,-46.5513299084126,-52.423303590597605,-47.36548088910146,-49.01540943531834,3.44529944683511,7
14,0.6950812339782715,0.15133624224569958,0.007703351974487305,0.0009557711723622738,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.16123398942654,-54.46138939208298,-47.133113210773544,-51.288147651627554,-47.745358619664486,-49.157848572715025,3.308574577338007,8
21,0.12359604835510254,0.007380291507946666,0.004913043975830078,0.0008788314435046995,0.5,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.24623796825918,-54.11480039467153,-47.59066123407323,-51.94283939643258,-48.239801463259475,-49.4268680913392,3.1801028888026655,9
16,1.0099571228027344,0.2645967421928552,0.010964059829711914,0.0019386512117245275,0.1,5,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-45.9330514404003,-53.32190042844653,-47.86954715164826,-53.03211141489291,-48.546663305598706,-49.74065474819734,2.9354219377611668,10
