,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.14917311668395997,0.0026859776897405303,0.005693674087524414,0.0008610135026609808,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.26096946135755,-87.53608286995293,-108.7165526497727,-121.98530978458741,-105.27455772495178,-105.55469449812446,11.012583999699743,1
11,0.24444212913513183,0.004077502405576369,0.005384063720703125,0.0011528316903472301,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.47675311130385,-87.07828655477434,-110.13062756599616,-121.37576150406383,-105.88012668142068,-105.78831108351179,11.078068020477778,2
9,0.07680606842041016,0.008693568875073578,0.005021381378173828,0.0013982684594759148,0.1,1,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-103.57549236514261,-87.99857678265265,-109.48378741442954,-122.75797560677101,-105.39566812301051,-105.84230005840126,11.163663081329966,3
5,0.7897627353668213,0.06738357549637788,0.007597017288208008,0.00046323264536157836,0.01,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.19139436928981,-88.01119092437737,-109.88170706058844,-123.62674207878574,-106.66770014838178,-106.47574691628463,11.418862816841918,4
14,0.6651697635650635,0.0562191261305603,0.00826420783996582,0.001880520152430249,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.43084313548607,-87.87221776124146,-110.13245476836452,-123.33112179686468,-106.8113519402508,-106.5155978804415,11.382906425083247,5
12,0.1338040351867676,0.007195788679586387,0.005379486083984375,0.0009241198287303053,0.1,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.44975478571077,-88.10965381249845,-110.04720594685253,-123.82492855775445,-106.34749513663829,-106.5558076478909,11.446849725239549,6
13,0.44466328620910645,0.041957599644869246,0.006282234191894531,0.0007366460257024642,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.43084313548607,-87.84837475103649,-110.13245476836452,-123.92679223296052,-106.8113519402508,-106.62996336561969,11.56775550728323,7
2,0.3448315143585205,0.05797630884397168,0.0063265800476074215,0.001678779005415335,0.01,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-105.57025109478441,-88.03913265395559,-110.43196769212086,-124.44128006914536,-107.07288648875401,-107.11110359975206,11.64026561146472,8
8,1.3618939876556397,0.08205499783277437,0.010857677459716797,0.002983892400372522,0.01,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-105.54872145893471,-88.15797600966161,-110.99291545491461,-125.47109865178749,-105.74837294274131,-107.18381690360795,11.963699793212863,9
4,0.4949810028076172,0.06102455918350998,0.00680837631225586,0.0004332783035509084,0.01,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-106.17038486886716,-90.14915399068171,-111.50457973990038,-126.7273336804788,-108.1683920339381,-108.54396886277323,11.692255094450687,10
