,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.1508260726928711,0.0026812425465883192,0.0050509929656982425,0.0013262403009387936,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-55.23389776068744,-55.517158073674466,-54.9864063243578,-50.52295654639426,-52.39471065677337,-53.73102587237747,1.954600695188977,1
23,0.6862298965454101,0.08748638734219691,0.008934354782104493,0.0018209513974024453,0.5,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.41889332694484,-58.132715942109215,-53.50620589685807,-51.08717094702326,-52.6500255653532,-54.35900233565771,2.5626864530264535,2
22,0.3904207706451416,0.02697398414599338,0.006596517562866211,0.0018486678822371755,0.5,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.49723731815127,-57.811527808853015,-54.35135122196745,-50.926208366194025,-52.6500255653532,-54.44727005610379,2.4963076576746444,3
17,1.6881872177124024,0.7251443264836658,0.012717199325561524,0.0026917616739807726,0.1,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-55.70634747418608,-57.96492389241724,-54.23392602082762,-51.933628409957144,-53.56991554091832,-54.681748267661284,2.0404864736785964,4
16,0.695827579498291,0.031294066250055104,0.008513593673706054,0.0014294881466520005,0.1,5,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-55.82421158446079,-58.69197919540095,-54.241244712179636,-51.841820363246526,-53.339005686028436,-54.787652308263276,2.340653230196593,5
14,0.6348945617675781,0.018127427259172352,0.006416988372802734,0.00017751472238544487,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.706823207822985,-58.010194853424956,-54.49605769579764,-52.63794071814101,-52.55080680131234,-54.880364655299786,2.1787512323035148,6
21,0.18742237091064454,0.014251236651697459,0.00840444564819336,0.0021549517704582146,0.5,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.459837352150586,-58.22502376912616,-54.890588878570234,-52.04601284691716,-52.81751957502899,-54.887796484358624,2.2790430869557494,7
24,0.2710679531097412,0.03592992030571452,0.005961561203002929,0.0010572336176838002,0.5,5,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.855434268918955,-58.013911707734856,-54.4931008444083,-53.383911335551325,-51.99914623207602,-54.9491008777379,2.208490849735511,8
13,0.41677465438842776,0.04753371087763777,0.006715011596679687,0.0012069414577090536,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-57.536467962538076,-58.06425571261854,-55.20637584055089,-52.916453150057876,-53.202770226954044,-55.38526457854389,2.130492062434595,9
26,1.1797134399414062,0.0851769203627118,0.01381545066833496,0.007463965075000632,0.5,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-57.62445609772217,-58.7445209324432,-54.164989751053035,-54.29186321114903,-52.78394533922187,-55.52195506631786,2.26524256772775,10
